token;tag;wordnet;
lasaña;B-R;ili-30-07870167-n;
DE;I-R;-;
pollo;I-R;ili-30-07644967-n;
CON;I-R;-;
queso;I-R;ili-30-07850329-n;
Y;I-R;-;
jamón;I-R;ili-30-07669891-n;
el;O;;
lasaña;B-R;ili-30-07870167-n;
de;I-R;-;
pollo;I-R;ili-30-07644967-n;
con;I-R;-;
queso;I-R;ili-30-07850329-n;
y;I-R;-;
jamón;I-R;ili-30-07669891-n;
ser;O;;
sencillamente;O;;
deliciós;O;;
,;O;;
con;O;;
sabor;O;;
de;O;;
siempre;O;;
pero;O;;
con;O;;
uno;O;;
puntito;O;;
mucho;O;;
sabroso;O;;
y;O;;
que;O;;
combinar;O;;
de;O;;
maravilla;O;;
con;O;;
el;O;;
cremosidad;O;;
de;O;;
el;O;;
bechamel;B-R;ili-30-07837362-n;
.;O;;
cómo;O;;
hacer;O;;
lasaña;B-R;ili-30-07870167-n;
DE;I-R;-;
pollo;I-R;ili-30-07644967-n;
CON;I-R;-;
queso;I-R;ili-30-07850329-n;
Y;I-R;-;
jamón;I-R;ili-30-07669891-n;
el;O;-;
lasaña;B-R;ili-30-07870167-n;
de;I-R;-;
pollo;I-R;ili-30-07644967-n;
con;I-R;-;
queso;I-R;ili-30-07850329-n;
y;I-R;-;
jamón;I-R;ili-30-07669891-n;
ser;O;;
uno;O;;
absoluto;O;;
maravilla;O;;
,;O;;
uno;O;;
plato;O;;
súper;O;;
completo;O;;
y;O;;
que;O;;
no;O;;
tener;O;;
gran;O;;
dificultad;O;;
.;O;;
él;O;;
único;O;;
más;O;;
complicado;O;;
ante;O;;
él;O;;
que;O;;
tú;O;;
poder;O;;
encontrar;O;;
ser;O;;
con;O;;
el;O;;
salsa;B-R;ili-30-07837362-n;
bechamel;I-R;ili-30-07837362-n;
,;O;;
para;O;;
el;O;;
cual;O;;
tenéis;O;;
uno;O;;
artículo;O;;
explicadísimo;O;;
paso;O;;
a;O;;
paso;O;;
(;O;;
tú;O;;
él;O;;
indico;O;;
más;O;;
abajo;O;;
);O;;
y;O;;
que;O;;
ya;O;;
sabéis;O;;
que;O;;
requerir;O;;
de;O;;
uno;O;;
poco;O;;
de;O;;
práctica;O;;
para;O;;
poder;O;;
conseguir;O;;
uno;O;;
salsa;B-R;ili-30-07829412-n;
alucinant;O;;
.;O;;
cómo;O;;
hacer;O;;
lasaña;B-R;ili-30-07870167-n;
DE;I-R;-;
pollo;I-R;ili-30-07644967-n;
CON;I-R;-;
queso;I-R;ili-30-07850329-n;
Y;I-R;-;
jamón;I-R;ili-30-07669891-n;
