token;tag;wordnet
madd;O;
etxeberri;O;
esku;O;
alberjin;B-R;ili-30-07713074-n
bete;I-R;ili-30-01086118-a
gaurkoa;O;
maddi;O;
etxeberria;O;
larrauldar;O;
alberjini;B-R;ili-30-07713074-n
bete;I-R;ili-30-01086118-a
errezeta;O;
etorri;O;
";";O;
errezeta;O;
osasuntsu;O;
eta;O;
dieta;O;
begano;O;
moldatu;O;
.;O;
osagaia;O;
(;O;
4;O;
lagun;O;
);O;
:;O;
2;O;
alberjinia;B-IN-FV;ili-30-07713074-n
handi;O;
piper;B-IN-FV;ili-30-07720442-n
berde_egin;I-IN-FV;ili-30-04967191-n
erdi;O;
kipula;B-IN-FV;ili-30-07722217-n
erdi;O;
60;O;
gramo;O;
soja;B-IN-P-AS;ili-30-07729485-n
texturizatu;I-IN-P-AS;
215;O;
gramo;O;
kalabaza;B-IN-FV;ili-30-07715561-n
baratxu;B-IN-FV;ili-30-07818277-n
ale;O;
bat;O;
koilarakadatxo;O;
erdi;O;
piperbeltz;B-IN-HS;ili-30-07815588-n
koilarakadatxo;O;
erdi;O;
baratxi;B-IN-HS;ili-30-07818277-n
hauts;I-IN-HS;
koilarakadatxo;O;
erdi;O;
piperrauts;B-IN-HS;ili-30-07822518-n
gatz;B-IN-HS;ili-30-07813107-n
oliba;B-IN-FO;ili-30-07767344-n
olio;I-IN-FO;ili-30-07673397-n
nola;O;
egin;O;
:;O;
alberjinia;B-IN-FV;ili-30-07713074-n
ondo;O;
garbitu;O;
eta;O;
erdi;O;
moztu;O;
.;O;
alberjini;B-IN-FV;ili-30-07713074-n
erdi;O;
moztu;O;
laban;O;
ebaki;O;
batzuk;O;
egin;O;
,;O;
eta;O;
gatz;B-IN-HS;ili-30-07813107-n
eta;O;
olio;B-IN-FO;ili-30-07673397-n
bota;O;
gain;O;
.;O;
aurrez;O;
berotu;O;
labe;B-E-A;ili-30-03862676-n
200ºc-;O;
25;O;
minutu;O;
labekatu;O;
,;O;
bero;O;
goi;O;
eta;O;
behe;O;
*edun;O;
.;O;
zartagin;B-E-U;ili-30-03400231-n
bat;O;
olio;B-IN-FO;ili-30-07673397-n
apur;O;
bat;O;
bota;O;
eta;O;
kipula;B-IN-FV;ili-30-07722217-n
eta;O;
piper;O;
(;O;
zati;O;
txiki;O;
moztu;O;
);O;
erregosi;O;
.;O;
beste;O;
eltze;B-E-U;ili-30-03990474-n
bat;O;
,;O;
ur;B-IN-NAB;ili-30-07935504-n
irakin;O;
jarri;O;
eta;O;
kalabaza;O;
eta;O;
baratxuri;B-IN-FV;ili-30-07818277-n
ale;O;
egosi;O;
.;O;
soja;B-IN-P-AS;ili-30-07729485-n
texturizatu;I-IN-P-AS;
hidratatu;O;
,;O;
espezi;B-IN-HS;ili-30-07812184-n
erantsi;O;
eta;O;
zartagin;B-E-U;ili-30-03400231-n
gehitu;O;
.;O;
kalabaza;B-IN-FV;ili-30-07715561-n
eta;O;
baratxuri;B-IN-FV;ili-30-07818277-n
egosi;O;
,;O;
ur;B-IN-NAB;ili-30-07935504-n
kendu;O;
,;O;
irabiabiagailu;B-E-U;"
ili-30-03775199-n"
pasatu;O;
eta;O;
zartagin;B-E-U;ili-30-03400231-n
erantsi;O;
.;O;
saltsa;B-R;"
ili-30-07829412-n"
ur;O;
apur;O;
bat;O;
galdu;O;
*ezan;O;
,;O;
zartagia;B-E-U;ili-30-03400231-n
sutan;O;
eduki;O;
5;O;
minutu;O;
inguru;O;
.;O;
alberginiei;B-IN-FV;"
ili-30-07713074-n"
sardeska;B-E-U;ili-30-03383948-n
bat;O;
laguntza;O;
barru;O;
zanpatu;O;
eta;O;
zartagiko;B-E-U;ili-30-03400231-n
soja;B-IN-P-AS;ili-30-07729485-n
eta;O;
barazki;B-IN-FV;ili-30-07707451-n
bete;O;
.;O;
10;O;
minutu;O;
labekatu;O;
.;O;
on;O;
egin;O;
!;O;
aurre;O;
aste;O;
lekale;B-IN-P;"
ili-30-07708798-n"
hitz_egin;O;
egin;O;
oste;O;
,;O;
gaurko;O;
horiek;O;
batek;O;
hitz_egin;O;
egin;O;
narkin;O;
";";O;
soja;B-IN-P-AS;ili-30-07729485-n
,;O;
hain;O;
zuzen;O;
ere;O;
.;O;
ukan;O;
urte;O;
batzuk;O;
,;O;
lau;O;
haizeta;O;
zabaldu;O;
izan;O;
soja;B-IN-P-AS;ili-30-07729485-n
eta;O;
minbizi;O;
arte;O;
erlazio;O;
egon;O;
,;O;
eta;O;
bat-batean;O;
,;O;
elikagai;O;
gisa;O;
demonizatu;O;
egin;O;
izan;O;
.;O;
beno;O;
,;O;
jakin;O;
behar;O;
eduki;O;
ez;O;
izan;O;
hala;O;
.;O;
arratoi;O;
frogatu;O;
*edun;O;
erlazio;O;
hori;O;
isoflabon;O;
(;O;
soj;B-IN-P-AS;ili-30-07729485-n
egon;O;
konposatu;O;
bat;O;
);O;
kontzentrazio;O;
oso;O;
altu;O;
gertatu;O;
izan;O;
ikusi;O;
izan;O;
";";O;
eta;O;
arratoi;O;
ez;O;
*edun;O;
soja;B-IN-P-AS;ili-30-07729485-n
kontsumitu;O;
,;O;
baizik;O;
eta;O;
isoflabon;O;
soilik;O;
.;O;
beraz;O;
,;O;
kontzentrazio;O;
hori;O;
iritsi;O;
soja;B-IN-P-AS;ili-30-07729485-n
kiloka;O;
jan;O;
behar_izan;O;
ukan;O;
egunero;O;
";";O;
eta;O;
ez;O;
ukan;O;
uste_izan;O;
inor;O;
halako;O;
egin;O;
*edun;O;
.;O;
gainera;O;
,;O;
hainbat;O;
ikerketa;O;
ikusi;O;
*edun;O;
soj;B-IN-P-AS;ili-30-07729485-n
bular;O;
minbizi;O;
prebentzio;O;
lagun_egin;O;
*ezan;O;
.;O;
hala;O;
ere;O;
,;O;
hori;O;
ez;O;
*edun;O;
so;O;
eguneei_rgon;O;
jan;O;
behar_izan;O;
duguniklio_izan;O;
esan;O;
nahi_izan;O;
.;O;
lehenengo;O;
erreza;O;
aipatu;O;
izan;O;
bezala;O;
,;O;
ez;O;
*edun;O;
panaze;O;
bila;O;
ibili;O;
behar;O;
elikagai;O;
arte;O;
,;O;
eta;O;
prebentzio;O;
lagun_egin;O;
ba*ezan;O;
ere;O;
,;O;
garrantzitsu;O;
dieta;O;
orekatu;O;
bat;O;
eraman;O;
izan;O;
,;O;
beste;O;
faktore;O;
asko;O;
arte;O;
";";O;
hala;O;
nola;O;
ariketa;O;
fisiko;O;
,;O;
osasun;O;
mental;O;
eta;O;
sozial;O;
.;O;
hala;O;
ere;O;
,;O;
soja;B-IN-P-AS;ili-30-07729485-n
elikagai;O;
interesgarri;O;
izan;O;
landare;O;
jatorr;O;
protein;O;
egon;O;
";";O;
izan;O;
ere;O;
,;O;
proteina;O;
oso;O;
eduki;O;
(;O;
ikusi;O;
txokolate;B-R;"
ili-30-07601999-n"
gaileta;I-R;"
ili-30-07681926-n"
);O;
.;O;
modu;O;
ezberdin;O;
szan;O;
*ezan;O;
";";O;
lekale;B-IN-P;"
ili-30-07708798-n"
oso;O;
egosi;O;
,;O;
edamame;B-IN-P;
,;O;
soja;B-IN-P-AS;ili-30-07729485-n
ernamuin;I-IN-P-AS;ili-30-11686503-n
,;O;
tofu;B-IN-P-AS;ili-30-07709881-n
,;O;
soja;B-IN-P-AS;ili-30-07729485-n
texturizatu;I-IN-P-AS;
,;O;
soja;B-IN-P-AS;ili-30-07729485-n
esne;I-IN-P;ili-30-07844042-n
,;O;
jogur;B-IN-M-AM;ili-30-07849336-n
,;O;
tempeh-a;B-IN-P-AS;
...;O;
ziur;O;
zerrenda;O;
oso;O;
bat;O;
bat;O;
ez;O;
*edun;O;
sekula;O;
dastatu;O;
.;O;
animatu;O;
izan;O;
zu;O;
platera;O;
zerbait;O;
berri;O;
sartu;O;
?;O;
madd;O;
etxeberri;O;
artobeltze;O;
krep;B-R;ili-30-07640203-n
tofu;I-R;ili-30-07709881-n
marinatu;I-R;
gaurkoa;O;
maddi;O;
etxeberria;O;
larrauldar;O;
artobeltze;B-IN-R;ili-30-07803310-n
krep;I-R;ili-30-07640203-n
tofu;I-R;ili-30-07709881-n
marinatu;I-R;
egin;O;
*edun;O;
";";O;
errezeta;O;
osasuntsu;O;
eta;O;
dieta;O;
beganora;O;
moldatu;O;
.;O;
osagaia;O;
(;O;
3-4;O;
lagun;O;
);O;
:;O;
200;O;
gramo;O;
artobeltz;B-IN-G;ili-30-07803310-n
150;O;
gramo;O;
tof;B-IN-P-AS;ili-30-07709881-n
alberjini;B-IN-FV;ili-30-07713074-n
handi;O;
bat;O;
azenario;B-IN-FV;ili-30-07730207-n
handi;O;
bat;O;
baratxu;B-IN-FV;ili-30-07818277-n
ale;O;
bat;O;
(;O;
aukera;O;
);O;
koilarakadatxo;O;
bat;O;
belar;B-IN-HS;ili-30-07811416-n
probentzal;I-IN-HS;
oliba;B-IN-FO;ili-30-07767344-n
olio;I-IN-FO;ili-30-07673397-n
"birg&lt;inasoan&gt;";I-IN-FO;
extra;I-IN-FO;
gatz;B-IN-HS;ili-30-07813107-n
nola;O;
egin;O;
:;O;
krep;B-R;ili-30-07640203-n
egin;O;
:;O;
1.!;O;
artobeltz;B-IN-G;ili-30-07803310-n
bera;O;
eduki;O;
gutxienez;O;
hamabi;O;
ordu;O;
2.;O;
artobeltza;B-IN-G;ili-30-07803310-n
ur;O;
kendu;O;
,;O;
ondo;O;
garbitu;O;
,;O;
eta;O;
basokada;O;
erdi;O;
u;B-IN-NAB;ili-30-07935504-n
,;O;
gatza;B-IN-HS;ili-30-07813107-n
eta;O;
baratxe;B-IN-FV;ili-30-07818277-n
irabiagailu;B-E-U;"
ili-30-03775199-n"
pasatu;O;
(;O;
krepa;B-R;ili-30-07640203-n
fin;O;
egin;O;
nahi;O;
izan;O;
gero;O;
,;O;
ur;B-IN-NAB;ili-30-07935504-n
gehiago;O;
erantsi;O;
);O;
3.;O;
zartagi;B-E-U;ili-30-03400231-n
itsasgaitz;I-E-U;ili-30-02235330-a
bat;O;
olio;B-IN-FO;ili-30-07673397-n
tanta;O;
bat;O;
jarri;O;
,;O;
ondo;O;
berotu;O;
eta;O;
masa;I-IN-D-AG;ili-30-07860988-n
pixkanaka;O;
botatu;O;
joan;O;
4.;O;
ertz;O;
zartagi;B-E-U;ili-30-03400231-n
askatu;O;
hasi;O;
izan;O;
buelta;O;
eman;O;
,;O;
pare;O;
bat;O;
minutu;O;
eduki;O;
(;O;
gehienez;O;
);O;
,;O;
eta;O;
plater;B-E-U;ili-30-03206908-n
bat;O;
atera;O;
.;O;
barazki;B-IN-FV;ili-30-07707451-n
:;O;
1.!;O;
alberjinia;B-IN-FV;ili-30-07713074-n
dado;O;
txiki;O;
moztu;O;
eta;O;
zartagin;B-E-U;ili-30-03400231-n
bero;O;
bota;O;
2.;O;
gatz;B-IN-HS;ili-30-07813107-n
apur;O;
bat;O;
erantsi;O;
eta;O;
su;O;
ertain;O;
jarri;O;
oste;O;
,;O;
estalita;O;
eduki;O;
,;O;
bizpahiru;O;
minutu;O;
behin;O;
estalki;B-E-U;ili-30-03661340-n
kendu;O;
eta;O;
nahastu;O;
3.;O;
alberjinia;B-IN-FV;ili-30-07713074-n
egiteartu;O;
egon;O;
,;O;
azenario;B-IN-FV;ili-30-07730207-n
zuritu;O;
eta;O;
azal-kentzeko;O;
fin-fin;O;
xerratu;O;
oste;O;
,;O;
azenario;B-IN-FV;ili-30-07730207-n
zartagin;B-E-U;ili-30-03400231-n
erantsi;O;
4.;O;
beste;O;
lauzpa;O;
bost;O;
minutu;O;
estalita;O;
eduki;O;
(;O;
bi;O;
minutu;O;
behin;O;
nahastu;O;
);O;
tofu;B-IN-P-AS;ili-30-07709881-n
:;O;
1.!;O;
tofu;B-IN-P-AS;ili-30-07709881-n
dado;O;
txiki;O;
moztu;O;
eta;O;
ur;O;
ondo;O;
kendu;O;
musuzapi;B-E-U;ili-30-03207835-n
bat;O;
edo;O;
trapu;B-E-U;ili-30-03207835-n
bat;O;
laguntza;O;
2.;O;
ontzi;B-E-U;ili-30-03133538-n
bat;O;
,;O;
tofu;B-IN-P-AS;ili-30-07709881-n
,;O;
2;O;
koilarakada;O;
oliba;B-IN-FO;ili-30-07767344-n
olio;I-IN-FO;ili-30-07673397-n
,;O;
2;O;
koilarakada;O;
tama;B-IN-P-AS;
eta;O;
belar;B-IN-HS;ili-30-07811416-n
probentzal;I-IN-HS;
bota;O;
,;O;
ondo;O;
nahastu;O;
,;O;
eta;O;
hozkailu;I-E-A;ili-30-04070727-n
sartu;O;
3.;O;
gutxienez;O;
lau;O;
ordu;O;
(;O;
gau;O;
oso;O;
egon;O;
izan;O;
hobe;O;
);O;
marinatu;O;
eduki;O;
4.;O;
zartagi;B-E-U;ili-30-03400231-n
itsasgaitz;I-E-U;ili-30-02235330-a
bat;O;
ondo-ondo;O;
berotu;O;
tofu;B-IN-P-AS;ili-30-07709881-n
erantsi;O;
eta;O;
ondo;O;
gorritu;O;
alde;O;
guzti;O;
salts;B-R;ili-30-07829412-n
:;O;
1.!;O;
eltze;B-E-U;ili-30-03990474-n
bat;O;
kalabazin;B-IN-FV;ili-30-12159555-n
(;O;
zati;O;
txiki;O;
);O;
eta;O;
kipula;B-IN-FV;ili-30-07722217-n
erdi;O;
jarri;O;
,;O;
ur;B-IN-NAB;ili-30-07935504-n
ipurdi;O;
bat;O;
2.;O;
su;O;
altu;O;
jarri;O;
eta;O;
irakin;O;
hasi;O;
izan;O;
gatz;B-IN-HS;ili-30-07813107-n
erantsi;O;
eta;O;
su;O;
ertain;O;
jaitsi;O;
3.;O;
kalabazin;B-IN-FV;ili-30-12159555-n
eta;O;
kipula;B-IN-FV;ili-30-07722217-n
egin;O;
egon;O;
su;O;
itzali;O;
eta;O;
irabiatu;O;
krep;B-R;ili-30-07640203-n
:;O;
1.!;O;
behin;O;
dena;O;
prest;O;
dugularik;O;
,;O;
nahi;O;
izan;O;
bezala;O;
osatu;O;
2.;O;
ni;O;
kasu;O;
,;O;
lehenbizi;O;
barazki;B-IN-FV;ili-30-07707451-n
jarri;O;
*edun;O;
,;O;
gero;O;
tofu;B-IN-P-AS;ili-30-07709881-n
eta;O;
saltsa;B-R;ili-30-07829412-n
gain;O;
3.;O;
o;O;
egin;O;
!;O;
artobeltza;B-IN-G;ili-30-07803310-n
(;O;
trigo;B-IN-G;ili-30-07803545-n
sarraceno;I-IN-G;
edo;O;
sarrazeno;B-IN-G;
bezala;O;
ezagun;O;
,;O;
agian;O;
);O;
,;O;
gluten;O;
gabe;O;
sasi-zereal;O;
bat;O;
izan;O;
";";O;
hau_da;O;
hau_da;O;
,;O;
zereal;O;
gisa;O;
klasifikatu;O;
*edun;O;
ere;O;
(;O;
galburu;O;
edo;O;
gramineo;O;
datozenei;O;
hala;O;
deitu;O;
zaizan;O;
);O;
,;O;
lore;O;
hazi;O;
etorri;O;
produktu;O;
bat;O;
izan;O;
.;O;
hala;O;
ere;O;
,;O;
zereal;O;
talde;O;
klasifikatu;O;
ohi;O;
*edun;O;
sukalde;O;
eman;O;
izan;O;
erabilera;O;
.;O;
prestakuntza;O;
alde;O;
,;O;
ezagutu;O;
ez;O;
*edun;O;
,;O;
arroz;B-IN-R;ili-30-07804323-n
hartu;O;
*ezan;O;
oinarri;O;
eta;O;
hura;O;
sukaldatu;O;
*edun;O;
platera;O;
sukaldatu;O;
artobeltza;B-IN-G;ili-30-07803310-n
:;O;
risotto;B-R;ili-30-07875436-n
,;O;
paell;B-R;"
ili-30-07591961-n"
...;O;
osasuna;O;
onura;O;
asko;O;
ukan;O;
elikagai;O;
bat;O;
izan;O;
(;O;
sekula;O;
ahaztu;O;
gabe;O;
panaze;O;
izan;O;
elikagai;O;
ez;O;
egon;O;
eta;O;
elikadura;O;
eta;O;
bizitza;O;
faktore;O;
gehiago;O;
eragin;O;
*edun;O;
gu;O;
osasun;O;
);O;
.;O;
karbohidrato;O;
konplexu;O;
,;O;
landare;O;
jatorri;O;
protein;O;
eta;O;
fibr;O;
aberats;O;
izan;O;
gain;O;
,;O;
potasio;O;
,;O;
magnesio;O;
,;O;
burdin;O;
eta;O;
fosforo;O;
gailendu;O;
izan;O;
mikronutriente;O;
,;O;
baina;O;
b;O;
talde;O;
bitamin;O;
ere;O;
,;O;
hauek;O;
eragin;O;
oso;O;
positibo;O;
ukan;O;
nerbio;O;
sisteman;O;
";";O;
bat;O;
,;O;
memoria;O;
eta;O;
kontzentrazio;O;
lagundu;O;
,;O;
eta;O;
beste;O;
,;O;
depresio;O;
edo;O;
antsietate;O;
kuadro;O;
prebentzio;O;
eragin;O;
.;O;
kolesterol;O;
murriztu;O;
ere;O;
elikagai;O;
egoki;O;
izan;O;
*edin;O;
,;O;
eta;O;
eduki;O;
indize;O;
gluzemiko;O;
baxu;O;
izan;O;
eta;O;
,;O;
oso;O;
zereal;O;
egoki;O;
izan;O;
diabetes;O;
ukan;O;
pertson;O;
konteraso_sumi;O;
*ezan;O;
.;O;
egia;O;
izan;O;
zapore;O;
berezi;O;
eduki;O;
,;O;
mikatz;O;
ohitu;O;
egon;O;
zerealen;O;
baino;O;
,;O;
baina;O;
krep;B-R;ili-30-07640203-n
edo;O;
tortatxo;B-R;"
ili-30-07628870-n"
modu;O;
(;O;
eta;O;
nahi;O;
izan;O;
gero;O;
espezie;B-IN-HS;"
ili-30-07812184-n"
laguntza;O;
);O;
,;O;
zapore;O;
oso;O;
atsegin;O;
bat;O;
lortu;O;
izan;O;
.;O;
probatu;O;
prest;O;
?;O;
azenario;B-R;ili-30-07730207-n
eta;I-R;
intxaur;I-R;ili-30-07771212-n
tarta;I-R;ili-30-07628870-n
fruitu;B-IN-FV;ili-30-13134947-n
edo;O;
barazkidun;B-R;ili-30-07707451-n
bizkotxo;B-R;ili-30-07632037-n
,;O;
azken;O;
emaitza;O;
harropuzkeria;O;
berezi;O;
erantsi;O;
*edun;O;
.;O;
zapore;O;
ñabardura;O;
bete;O;
ukan;O;
,;O;
eta;O;
labe;B-E-A;ili-30-03862676-n
atera;O;
izan;O;
usain;O;
harrigarri;O;
izan;O;
.;O;
ehundura;O;
adina;O;
gustu;O;
egon;O;
,;O;
baina;O;
bizkotxo;B-R;ili-30-07632037-n
on;O;
bat;O;
hartu;O;
,;O;
azkar;O;
ez;O;
xehatu;O;
bezain;O;
mamitsu;O;
eta;O;
harro;O;
izan;O;
izan;O;
izan;O;
on;O;
.;O;
azenario;B-R;ili-30-07730207-n
eta;I-R;
intxaur;I-R;ili-30-07771212-n
bizkotxo;I-R;ili-30-07632037-n
hau;O;
jogurt;B-R;ili-30-07849336-n
bizkotxo;B-R;ili-30-07632037-n
bat;O;
izan;O;
bezala;O;
egin;O;
egon;O;
,;O;
baina;O;
osagai;O;
berezi;O;
hauek;O;
gehitu;O;
.;O;
oso;O;
goxo;O;
izan;O;
,;O;
eta;O;
azkar;O;
egite;O;
gain;O;
,;O;
oso;O;
erraz;O;
ere;O;
izan;O;
.;O;
beharrezko;O;
osagai;O;
:;O;
jogurt;B-IN-M-AM;ili-30-07849336-n
natural;I-IN-M-AM;-
1;O;
(;O;
125;O;
g-ko;O;
);O;
.;O;
3;O;
arrautza;B-IN-E-AE;ili-30-07840804-n
.;O;
irin;B-IN-BP-AG;ili-30-07569106-n
(;O;
3;O;
jogurt;B-IN-M-AM;ili-30-07849336-n
neurri;O;
);O;
.;O;
azukre;B-IN-SU;ili-30-07859284-n
(;O;
2;O;
jogurt;B-IN-M-AM;ili-30-07849336-n
neurri;O;
);O;
.;O;
oliba-olio;B-IN-FO;-
(;O;
jogurt-neurri;O;-
1;O;
);O;
.;O;
azken;O;
zapore;O;
olio;B-IN-FO;ili-30-07673397-n
hauteman;O;
gustatu;O;
izan;O;
,;O;
erabili;O;
zapore;O;
handi;O;
bat;O;
,;O;
baina;O;
diskretu;O;
izan;O;
nahi;O;
*edun;O;
,;O;
erabili;O;
zapore;O;
leuneko;O;
olio;B-IN-FO;ili-30-07673397-n
bat;O;
.;O;
legami;B-IN-BP-AG;ili-30-14934031-n
hauts;I-IN-BP-AG;
gutunazal;O;
1;O;
(;O;
16;O;
g;O;
);O;
.;O;
molde;B-E-U;ili-30-03779370-n
igurztu;O;
gurin;B-IN-M-AM;ili-30-07848338-n
.;O;
200;O;
g;O;
azenario;B-IN-FV;ili-30-12937678-n
.;O;
30;O;
g;O;
intxaur;B-IN-N-AN;ili-30-07771212-n
,;O;
txikitu;O;
.;O;
koilarakada;O;
bat;O;
kanela;B-IN-HS;ili-30-07814203-n
hauts;I-IN-HS;
.;O;
urratsez-urrats;O;
:;O;
1.!;O;
azenario;B-IN-FV;ili-30-12937678-n
eta;O;
arralalo;O;
garbitu;O;
.;O;
2.hustu;O;
jogurtatu;B-IN-M-AM;ili-30-07849336-n
bol;O;
txiki;O;
bat;O;
,;O;
ontzi;O;
hasiera-hasiera;O;
erabili;O;
ahal;O;
izan;O;
.;O;
3.aurrez;O;
berotu;O;
labe;B-E-A;ili-30-03862676-n
180º-;O;
masa;B-IN-D-AM;ili-30-07860988-n
egin;O;
gutxi;O;
gorabehera;O;
erabili;O;
*edun;O;
minutu;O;
hauek;O;
.;O;
4.bol;O;
handi;O;
bat;O;
,;O;
gehitu;O;
azukre;B-IN-SU;ili-30-07859284-n
eta;O;
arrautu;B-IN-E-AE;ili-30-07840804-n
bi;O;
neurri;O;
,;O;
eta;O;
zorrotxo;O;
sendo;O;
,;O;
hobe;O;
hagatxo;O;
edo;O;
koilara;O;
bat;O;
.;O;
