token;Amaia;Mikel;
azenario;B-R;B-R;
eta;I-R;I-R;
intxaur;I-R;I-R;
tarta;I-R;I-R;
fruitu;B-IN-FV;I-R;
edo;O;I-R;
barazkidun;B-R;I-R;
bizkotxo;B-R;I-R;
,;O;O;
azken;O;O;
emaitza;O;O;
harropuzkeria;O;O;
berezi;O;O;
erantsi;O;O;
*edun;O;O;
.;O;O;
zapore;O;O;
ñabardura;O;O;
bete;O;O;
ukan;O;O;
,;O;O;
eta;O;O;
labe;B-E-A;B-E-A;
atera;O;O;
izan;O;O;
usain;O;O;
harrigarri;O;O;
izan;O;O;
.;O;O;
ehundura;O;O;
adina;O;O;
gustu;O;O;
egon;O;O;
,;O;O;
baina;O;O;
bizkotxo;B-R;B-R;
on;O;O;
bat;O;O;
hartu;O;O;
,;O;O;
azkar;O;O;
ez;O;O;
xehatu;O;O;
bezain;O;O;
mamitsu;O;O;
eta;O;O;
harro;O;O;
izan;O;O;
izan;O;O;
izan;O;O;
on;O;O;
.;O;O;
azenario;B-R;B-R;
eta;I-R;I-R;
intxaur;I-R;I-R;
bizkotxo;I-R;I-R;
hau;O;O;
jogurt;B-R;B-R;
bizkotxo;B-R;I-R;
bat;O;O;
izan;O;O;
bezala;O;O;
egin;O;O;
egon;O;O;
,;O;O;
baina;O;O;
osagai;O;O;
berezi;O;O;
hauek;O;O;
gehitu;O;O;
.;O;O;
oso;O;O;
goxo;O;O;
izan;O;O;
,;O;O;
eta;O;O;
azkar;O;O;
egite;O;O;
gain;O;O;
,;O;O;
oso;O;O;
erraz;O;O;
ere;O;O;
izan;O;O;
.;O;O;
beharrezko;O;O;
osagai;O;O;
:;O;O;
jogurt;B-IN-M-AM;B-IN-M-AM;
natural;I-IN-M-AM;B-IN-M-AM;
1;O;O;
(;O;O;
125;O;O;
g-ko;O;O;
);O;O;
.;O;O;
3;O;O;
arrautza;B-IN-E-AE;B-IN-E-AE;
.;O;O;
irin;B-IN-BP-AG;B-IN-D;
(;O;O;
3;O;O;
jogurt;B-IN-M-AM;B-IN-E-AE;
neurri;O;O;
);O;O;
.;O;O;
azukre;B-IN-SU;B-IN-SU;
(;O;O;
2;O;O;
jogurt;B-IN-M-AM;B-IN-E-AE;
neurri;O;O;
);O;O;
.;O;O;
